Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
89.248.163.140-139.59.91.136-40258-33995-6,89.248.163.140,40258,139.59.91.136,33995,6,05/08/2022 09:04:58 AM,42,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23809.52380952381,23809.52380952381,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,1.659690298170405E15,0.0,1.659690298170405E15,1.659690298170405E15,NeedManualLabel
64.62.197.222-139.59.91.136-37448-20547-6,64.62.197.222,37448,139.59.91.136,20547,6,05/08/2022 09:05:01 AM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,0,0,0,0,1.659690301874009E15,0.0,1.659690301874009E15,1.659690301874009E15,NeedManualLabel
139.59.91.136-14.192.3.197-22-52678-6,139.59.91.136,22,14.192.3.197,52678,6,05/08/2022 09:04:36 AM,67724,1,1,192.0,0.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,0.0,2835.0363239028998,29.53162837398854,67724.0,0.0,67724.0,67724.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,14.76581418699427,14.76581418699427,0.0,192.0,128.0,110.85125168440814,12288.0,0,0,0,1,2,0,0,0,1.0,192.0,192.0,0.0,0,0,0,0,0,0,0,96,0,0,501,512,0,20,0,0,0,0,1.659690276013717E15,0.0,1.659690276013717E15,1.659690276013717E15,NeedManualLabel
91.229.90.148-139.59.91.136-43285-123-17,91.229.90.148,43285,139.59.91.136,123,17,05/08/2022 09:04:34 AM,31723868,1534,0,12272.0,0.0,8.0,8.0,8.0,0.0,0,0,0,0,386.8380740961348,48.35475926201685,20693.977821265456,1535.6082420777198,34992.0,6497.0,3.1723868E7,20693.977821265456,1535.6082420777198,34992.0,6497.0,0,0,0,0,0,0,0,0,0,12272,0,48.35475926201685,0.0,8.0,8.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,8.005215123859191,8.0,0.0,0,0,0,12272,1534,386,1,8,0,0,0,0,1533,8,0,0,0,0,1.659690274990431E15,0.0,1.659690274990431E15,1.659690274990431E15,NeedManualLabel
171.22.30.158-139.59.91.136-49911-4200-6,171.22.30.158,49911,139.59.91.136,4200,6,05/08/2022 09:04:55 AM,112,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17857.14285714286,112.0,0.0,112.0,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8928.57142857143,8928.57142857143,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,1.659690295732491E15,0.0,1.659690295732491E15,1.659690295732491E15,NeedManualLabel
195.189.226.84-139.59.91.136-61691-123-17,195.189.226.84,61691,139.59.91.136,123,17,05/08/2022 09:04:35 AM,31715278,1527,0,12216.0,0.0,8.0,8.0,8.0,0.0,0,0,0,0,385.17713765586416,48.14714220698302,20783.275229357776,1764.6795431751254,41243.0,56.0,3.1715278E7,20783.275229357776,1764.6795431751254,41243.0,56.0,0,0,0,0,0,0,0,0,0,12216,0,48.14714220698302,0.0,8.0,8.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,8.005239030779306,8.0,0.0,0,0,0,12216,1527,385,1,8,0,0,0,0,1526,8,0,0,0,0,1.65969027500022E15,0.0,1.65969027500022E15,1.65969027500022E15,NeedManualLabel
